Gene stable ID,Transcript stable ID,Transcript start (bp),Transcript end (bp),length
MGG_00141,MGG_00141T0,3976052,3981158,5106
MGG_02416,MGG_02416T0,1766902,1769928,3026
MGG_16773,MGG_16773T0,2933047,2933531,484
MGG_07440,MGG_07440T0,649198,651899,2701
MGG_06472,MGG_06472T0,3615959,3617387,1428
MGG_09363,MGG_09363T0,3548830,3551852,3022
MGG_02454,MGG_02454T0,1926772,1928682,1910
MGG_01279,MGG_01279T0,2949420,2954386,4966
MGG_06722,MGG_06722T0,2511138,2513552,2414
MGG_01342,MGG_01342T0,3179210,3183782,4572
MGG_10124,MGG_10124T0,1557505,1559305,1800
MGG_09931,MGG_09931T0,4382204,4387947,5743
MGG_06893,MGG_06893T0,3144542,3147508,2966
MGG_12967,MGG_12967T0,3919930,3922115,2185
MGG_08100,MGG_08100T0,5698147,5699691,1544
MGG_04494,MGG_04494T0,7308461,7311915,3454
MGG_01026,MGG_01026T0,762269,765141,2872
MGG_17678,MGG_17678T0,1778887,1782769,3882
MGG_05041,MGG_05041T0,4388338,4390971,2633
MGG_13697,MGG_13697T0,419224,420823,1599
MGG_12765,MGG_12765T0,2862436,2863855,1419
MGG_10402,MGG_10402T0,951306,953264,1958
MGG_07548,MGG_07548T0,984000,985366,1366
MGG_06146,MGG_06146T0,2732302,2734805,2503
MGG_04756,MGG_04756T0,6760961,6762964,2003
MGG_12369,MGG_12369T0,6671044,6674584,3540
MGG_03022,MGG_03022T0,625509,627061,1552
MGG_00253,MGG_00253T0,3516340,3518506,2166
MGG_08259,MGG_08259T0,8081816,8085404,3588
MGG_05769,MGG_05769T0,6454122,6456251,2129
MGG_12108,MGG_12108T0,2473324,2476102,2778
MGG_05889,MGG_05889T0,1840654,1843541,2887
MGG_05747,MGG_05747T0,6375021,6376053,1032
MGG_09397,MGG_09397T0,3417043,3418216,1173
MGG_08758,MGG_08758T0,229936,232443,2507
MGG_03319,MGG_03319T0,2279970,2286302,6332
MGG_02771,MGG_02771T0,1578789,1581639,2850
MGG_09355,MGG_09355T0,3571309,3578042,6733
MGG_16673,MGG_16673T0,1330613,1331075,462
MGG_05592,MGG_05592T0,5761734,5763376,1642
MGG_17197,MGG_17197T0,4287265,4288233,968
MGG_16387,MGG_16387T0,5494143,5494544,401
MGG_05993,MGG_05993T0,2216201,2219188,2987
MGG_01683,MGG_01683T0,4451106,4452675,1569
MGG_10293,MGG_10293T0,218865,220964,2099
MGG_10277,MGG_10277T0,203659,208811,5152
MGG_06826,MGG_06826T0,2905247,2906145,898
MGG_16277,MGG_16277T0,4132599,4136282,3683
MGG_15568,MGG_15568T0,1337842,1338368,526
MGG_01057,MGG_01057T0,653577,654885,1308
MGG_07632,MGG_07632T0,1273531,1274796,1265
MGG_02990,MGG_02990T0,729978,730617,639
MGG_00401,MGG_00401T0,3001128,3002159,1031
MGG_16555,MGG_16555T0,7822080,7823207,1127
MGG_16643,MGG_16643T0,718658,718956,298
MGG_04105,MGG_04105T0,1944551,1945549,998
MGG_18098,MGG_18098T0,3406888,3411956,5068
MGG_16896,MGG_16896T0,5130718,5131324,606
MGG_03138,MGG_03138T0,2931906,2936235,4329
MGG_05618,MGG_05618T0,5867418,5871062,3644
MGG_05437,MGG_05437T0,5215382,5216199,817
MGG_07156,MGG_07156T0,6577008,6580213,3205
MGG_18114,MGG_18114T0,143760,144311,551
MGG_00934,MGG_00934T0,1070339,1074509,4170
MGG_17226,MGG_17226T0,4652518,4653387,869
MGG_09049,MGG_09049T0,2562692,2563377,685
MGG_04662,MGG_04662T0,1190985,1192594,1609
MGG_11728,MGG_11728T0,4176581,4177726,1145
MGG_11533,MGG_11533T0,2193687,2195407,1720
MGG_08812,MGG_08812T0,48708,49427,719
MGG_12268,MGG_12268T0,5577379,5580628,3249
MGG_17829,MGG_17829T0,3831900,3833483,1583
MGG_00033,MGG_00033T0,4357078,4359019,1941
MGG_07520,MGG_07520T0,906558,907637,1079
MGG_00532,MGG_00532T0,2580733,2583452,2719
MGG_11231,MGG_11231T0,3124899,3128709,3810
MGG_13349,MGG_13349T0,245969,247908,1939
MGG_09099,MGG_09099T0,161293,163183,1890
MGG_01708,MGG_01708T0,4534535,4536466,1931
MGG_07557,MGG_07557T0,1014957,1015893,936
MGG_00805,MGG_00805T0,1554292,1558907,4615
MGG_16949,MGG_16949T0,6062762,6063081,319
MGG_06195,MGG_06195T0,2893017,2895728,2711
MGG_05387,MGG_05387T0,5054263,5054993,730
MGG_05387,MGG_05387T1,5054481,5055478,997
MGG_16969,MGG_16969T0,6294248,6295854,1606
MGG_03988,MGG_03988T0,2319737,2321794,2057
MGG_10306,MGG_10306T0,177511,179188,1677
MGG_14756,MGG_14756T0,1901997,1903522,1525
MGG_15112,MGG_15112T0,3573633,3574376,743
MGG_03415,MGG_03415T0,1943706,1947005,3299
MGG_10957,MGG_10957T0,567605,569744,2139
MGG_06728,MGG_06728T0,2524667,2527755,3088
MGG_08349,MGG_08349T0,7746842,7748098,1256
MGG_15766,MGG_15766T0,4837478,4838208,730
MGG_07369,MGG_07369T0,7409334,7411446,2112
MGG_17412,MGG_17412T0,2298313,2299578,1265
MGG_16785,MGG_16785T0,3159481,3159943,462
MGG_03233,MGG_03233T0,2605913,2608242,2329
MGG_16465,MGG_16465T0,6404563,6407109,2546
MGG_01795,MGG_01795T0,4862150,4866353,4203
MGG_02063,MGG_02063T0,444783,445572,789
MGG_12506,MGG_12506T0,102981,104657,1676
MGG_03090,MGG_03090T0,336900,339479,2579
MGG_01060,MGG_01060T0,646613,647952,1339
MGG_15906,MGG_15906T0,7284402,7286797,2395
MGG_11257,MGG_11257T0,2813669,2815440,1771
MGG_10854,MGG_10854T0,6511787,6513674,1887
MGG_06755,MGG_06755T0,2609573,2613374,3801
MGG_01235,MGG_01235T0,2786613,2789500,2887
MGG_15338,MGG_15338T0,5395334,5395967,633
MGG_10896,MGG_10896T0,7945179,7947309,2130
MGG_06569,MGG_06569T0,3239537,3243755,4218
MGG_06747,MGG_06747T0,2588604,2590366,1762
MGG_05522,MGG_05522T0,5501255,5502691,1436
MGG_14882,MGG_14882T0,2060551,2061939,1388
MGG_08843,MGG_08843T0,1833627,1837002,3375
MGG_05111,MGG_05111T0,4635911,4638816,2905
MGG_14717,MGG_14717T0,3954410,3955707,1297
MGG_03623,MGG_03623T0,1219441,1220665,1224
MGG_06731,MGG_06731T0,2540438,2541733,1295
MGG_12466,MGG_12466T0,7799588,7800378,790
MGG_09183,MGG_09183T0,3648373,3648810,437
MGG_06777,MGG_06777T0,2711364,2713580,2216
MGG_15878,MGG_15878T0,6752701,6753836,1135
MGG_11400,MGG_11400T0,675093,677414,2321
MGG_06868,MGG_06868T0,3036290,3039361,3071
MGG_02241,MGG_02241T0,1111011,1111959,948
MGG_10529,MGG_10529T0,4749932,4753165,3233
MGG_13904,MGG_13904T0,6207685,6207996,311
MGG_08145,MGG_08145T0,5845395,5847005,1610
MGG_04643,MGG_04643T0,1117572,1119752,2180
MGG_00054,MGG_00054T0,4279675,4281735,2060
MGG_15216,MGG_15216T0,1392864,1395037,2173
MGG_00947,MGG_00947T0,1033477,1035084,1607
MGG_02103,MGG_02103T0,573317,574409,1092
MGG_02516,MGG_02516T0,2172400,2174692,2292
MGG_09463,MGG_09463T0,3593422,3595666,2244
MGG_07286,MGG_07286T0,7102223,7105705,3482
MGG_02000,MGG_02000T0,188889,190885,1996
MGG_08657,MGG_08657T0,7702339,7703053,714
MGG_14589,MGG_14589T0,1473954,1474811,857
MGG_06542,MGG_06542T0,3341712,3343799,2087
MGG_06479,MGG_06479T0,3592126,3592799,673
MGG_10968,MGG_10968T0,146605,148112,1507
MGG_10126,MGG_10126T0,1580307,1583134,2827
MGG_00292,MGG_00292T0,3386709,3387958,1249
MGG_15992,MGG_15992T0,201953,202678,725
MGG_10481,MGG_10481T0,379925,385551,5626
MGG_10481,MGG_10481T1,379462,385358,5896
MGG_08823,MGG_08823T0,1768332,1770705,2373
MGG_00800,MGG_00800T0,1577815,1581814,3999
MGG_12876,MGG_12876T0,4416177,4418329,2152
MGG_08211,MGG_08211T0,6089472,6092670,3198
MGG_14917,MGG_14917T0,2014351,2015382,1031
MGG_14819,MGG_14819T0,5515566,5516532,966
MGG_07884,MGG_07884T0,6148907,6150000,1093
MGG_06807,MGG_06807T0,2821391,2822818,1427
MGG_16247,MGG_16247T0,3812974,3817812,4838
MGG_07593,MGG_07593T0,1138927,1140891,1964
MGG_11610,MGG_11610T0,3417747,3418459,712
MGG_08041,MGG_08041T0,5510090,5511002,912
MGG_06397,MGG_06397T0,3877256,3882557,5301
MGG_10308,MGG_10308T0,171566,173580,2014
MGG_05318,MGG_05318T0,5388833,5391584,2751
MGG_13996,MGG_13996T0,634885,635131,246
MGG_00539,MGG_00539T0,2532588,2533679,1091
MGG_18059,MGG_18059T0,2897685,2898147,462
MGG_17046,MGG_17046T0,785369,786256,887
MGG_17026,MGG_17026T0,382501,384213,1712
MGG_12481,MGG_12481T0,8024648,8025249,601
MGG_03661,MGG_03661T0,1102411,1104541,2130
MGG_00904,MGG_00904T0,1185128,1186975,1847
MGG_06381,MGG_06381T0,3941231,3943072,1841
MGG_02950,MGG_02950T0,882419,883421,1002
MGG_07424,MGG_07424T0,581758,583097,1339
MGG_01468,MGG_01468T0,3650895,3660298,9403
MGG_17821,MGG_17821T0,3728561,3733407,4846
MGG_07861,MGG_07861T0,6069082,6071001,1919
MGG_07591,MGG_07591T0,1131741,1132226,485
MGG_09998,MGG_09998T0,5006414,5006782,368
MGG_07210,MGG_07210T0,6780832,6782921,2089
MGG_16315,MGG_16315T0,4687780,4690313,2533
MGG_04317,MGG_04317T0,1202056,1204334,2278
MGG_15697,MGG_15697T0,3528685,3528979,294
MGG_10720,MGG_10720T0,3724747,3725981,1234
MGG_07561,MGG_07561T0,1025584,1029673,4089
MGG_01327,MGG_01327T0,3110240,3113168,2928
MGG_09320,MGG_09320T0,3684861,3689248,4387
MGG_00989,MGG_00989T0,909729,910323,594
MGG_00882,MGG_00882T0,1276457,1279406,2949
MGG_17595,MGG_17595T0,673175,675032,1857
MGG_16085,MGG_16085T0,1254528,1255104,576
MGG_09985,MGG_09985T0,5064685,5066206,1521
MGG_10245,MGG_10245T0,333144,334440,1296
MGG_07229,MGG_07229T0,6878692,6881296,2604
MGG_15809,MGG_15809T0,5511059,5512184,1125
MGG_11474,MGG_11474T0,1259108,1261751,2643
MGG_15791,MGG_15791T0,5271145,5272524,1379
MGG_15249,MGG_15249T0,5719781,5721106,1325
MGG_10049,MGG_10049T0,4801116,4802502,1386
MGG_10609,MGG_10609T0,6507408,6509111,1703
MGG_17689,MGG_17689T0,1969856,1972023,2167
MGG_00836,MGG_00836T0,1451289,1452055,766
MGG_02758,MGG_02758T0,1630295,1631471,1176
MGG_16006,MGG_16006T0,306371,307859,1488
MGG_11596,MGG_11596T0,3223528,3225236,1708
MGG_11286,MGG_11286T0,2337615,2338989,1374
MGG_05335,MGG_05335T0,4855986,4856949,963
MGG_17645,MGG_17645T0,1286742,1287722,980
MGG_06709,MGG_06709T0,2475697,2479215,3518
MGG_08798,MGG_08798T0,81714,82379,665
MGG_15986,MGG_15986T0,73369,74528,1159
MGG_15986,MGG_15986T1,73461,74528,1067
MGG_04694,MGG_04694T0,6928180,6929370,1190
MGG_04090,MGG_04090T0,2005197,2008454,3257
MGG_02619,MGG_02619T0,2175963,2179859,3896
MGG_03980,MGG_03980T0,2339399,2340672,1273
MGG_06910,MGG_06910T0,3220833,3224039,3206
MGG_09298,MGG_09298T0,4138394,4139448,1054
MGG_12366,MGG_12366T0,6632898,6633649,751
MGG_03267,MGG_03267T0,2463520,2465459,1939
MGG_11741,MGG_11741T0,4045361,4048564,3203
MGG_18136,MGG_18136T0,502890,504224,1334
MGG_03495,MGG_03495T0,1687755,1688810,1055
MGG_03311,MGG_03311T0,2309446,2311593,2147
MGG_10367,MGG_10367T0,874888,875685,797
MGG_06263,MGG_06263T0,4358020,4360124,2104
MGG_01825,MGG_01825T0,4987714,4990238,2524
MGG_03057,MGG_03057T0,468661,470192,1531
MGG_09456,MGG_09456T0,3216924,3218429,1505
MGG_03967,MGG_03967T0,2399606,2401126,1520
MGG_03604,MGG_03604T0,1299618,1300688,1070
MGG_03503,MGG_03503T0,1667203,1668358,1155
MGG_14858,MGG_14858T0,3388862,3390060,1198
MGG_13439,MGG_13439T0,1257949,1258933,984
MGG_06652,MGG_06652T0,2291004,2294040,3036
MGG_15297,MGG_15297T0,7325666,7327800,2134
MGG_06490,MGG_06490T0,3556197,3556916,719
MGG_17682,MGG_17682T0,1850446,1851502,1056
MGG_00080,MGG_00080T0,4191916,4192665,749
MGG_13493,MGG_13493T0,1179894,1181943,2049
MGG_16666,MGG_16666T0,1205881,1206587,706
MGG_16180,MGG_16180T0,2885982,2888746,2764
MGG_08314,MGG_08314T0,7901049,7905075,4026
MGG_01727,MGG_01727T0,4591237,4595999,4762
MGG_02308,MGG_02308T0,1322719,1324224,1505
MGG_05587,MGG_05587T0,5726863,5729704,2841
MGG_06994,MGG_06994T0,3512075,3513783,1708
MGG_14369,MGG_14369T0,3203370,3203724,354
MGG_12397,MGG_12397T0,7163748,7166355,2607
MGG_07463,MGG_07463T0,730584,732682,2098
MGG_04964,MGG_04964T0,4085325,4087287,1962
MGG_07134,MGG_07134T1,6494477,6496908,2431
MGG_07134,MGG_07134T0,6494477,6496908,2431
MGG_13435,MGG_13435T0,1222328,1225337,3009
MGG_10820,MGG_10820T0,554069,557627,3558
MGG_10563,MGG_10563T0,2868944,2872465,3521
MGG_10563,MGG_10563T1,2869104,2872465,3361
MGG_13220,MGG_13220T0,2483958,2487154,3196
MGG_13220,MGG_13220T1,2485041,2487154,2113
MGG_03824,MGG_03824T0,2917891,2919932,2041
MGG_00943,MGG_00943T0,1041933,1044358,2425
MGG_01088,MGG_01088T0,553367,555667,2300
MGG_05888,MGG_05888T0,1837862,1840022,2160
MGG_16483,MGG_16483T0,6640940,6641599,659
MGG_03512,MGG_03512T0,1638583,1640246,1663
MGG_08810,MGG_08810T0,49744,53176,3432
MGG_05270,MGG_05270T0,5228943,5230754,1811
MGG_03868,MGG_03868T0,2780051,2781228,1177
MGG_17680,MGG_17680T0,1790556,1791407,851
MGG_16488,MGG_16488T0,6678825,6679376,551
MGG_01845,MGG_01845T0,5075843,5076666,823
MGG_17624,MGG_17624T0,1015551,1017438,1887
MGG_03460,MGG_03460T0,1787994,1789155,1161
MGG_11908,MGG_11908T0,1854417,1856106,1689
MGG_02892,MGG_02892T0,1122304,1126117,3813
MGG_01380,MGG_01380T0,3324340,3326017,1677
MGG_01452,MGG_01452T0,3578467,3582284,3817
MGG_12551,MGG_12551T0,845985,847103,1118
MGG_09784,MGG_09784T0,5184554,5191132,6578
MGG_05231,MGG_05231T0,5077832,5078969,1137
MGG_02757,MGG_02757T0,1632228,1636081,3853
MGG_01900,MGG_01900T0,5270292,5270951,659
MGG_08462,MGG_08462T0,295747,297681,1934
MGG_03966,MGG_03966T0,2402619,2406823,4204
MGG_17486,MGG_17486T0,3481455,3486511,5056
MGG_15927,MGG_15927T0,7615104,7616858,1754
MGG_13868,MGG_13868T0,5930689,5931255,566
MGG_10231,MGG_10231T0,374839,375299,460
MGG_16382,MGG_16382T0,5463136,5464187,1051
MGG_17354,MGG_17354T0,1304688,1305093,405
MGG_07662,MGG_07662T0,1424317,1426329,2012
MGG_05899,MGG_05899T0,1872382,1876304,3922
MGG_09073,MGG_09073T0,51958,55130,3172
MGG_17739,MGG_17739T0,2768367,2768666,299
MGG_03541,MGG_03541T0,1536821,1537192,371
MGG_16529,MGG_16529T0,7454038,7454413,375
MGG_07146,MGG_07146T0,6540649,6543860,3211
MGG_12291,MGG_12291T0,5802402,5805077,2675
MGG_08353,MGG_08353T0,7734323,7734908,585
MGG_10583,MGG_10583T0,2816962,2819338,2376
MGG_17647,MGG_17647T0,1302643,1302960,317
MGG_08576,MGG_08576T0,732041,732367,326
MGG_08981,MGG_08981T0,2360803,2362335,1532
MGG_10506,MGG_10506T0,4638956,4640978,2022
MGG_15941,MGG_15941T0,7834237,7834699,462
MGG_06413,MGG_06413T0,3829131,3831010,1879
MGG_02728,MGG_02728T0,1727532,1729619,2087
MGG_17508,MGG_17508T0,3760390,3762184,1794
MGG_08037,MGG_08037T0,5498922,5500742,1820
MGG_18093,MGG_18093T0,3330615,3331694,1079
MGG_00356,MGG_00356T0,3138024,3142154,4130
MGG_11502,MGG_11502T0,1831590,1833768,2178
MGG_16681,MGG_16681T0,1430664,1432344,1680
MGG_06260,MGG_06260T0,4366097,4369274,3177
MGG_15920,MGG_15920T0,7487889,7488974,1085
MGG_06857,MGG_06857T0,3002647,3005031,2384
MGG_04318,MGG_04318T0,1199907,1200883,976
MGG_15918,MGG_15918T0,7464403,7464705,302
MGG_15353,MGG_15353T0,438571,440964,2393
MGG_17895,MGG_17895T0,719272,721143,1871
MGG_17100,MGG_17100T0,2044690,2045369,679
MGG_16962,MGG_16962T0,6245312,6245814,502
MGG_04358,MGG_04358T0,611161,612713,1552
MGG_00184,MGG_00184T0,3814933,3818683,3750
MGG_07954,MGG_07954T0,6370844,6371860,1016
MGG_09527,MGG_09527T0,3365568,3367890,2322
MGG_15509,MGG_15509T0,211831,213802,1971
MGG_02980,MGG_02980T0,772852,776683,3831
MGG_04992,MGG_04992T0,4196094,4200105,4011
MGG_02507,MGG_02507T0,2149938,2152747,2809
MGG_08339,MGG_08339T0,7776963,7780014,3051
MGG_17774,MGG_17774T0,3244332,3244756,424
MGG_16813,MGG_16813T0,3644177,3645790,1613
MGG_04433,MGG_04433T0,791774,797000,5226
MGG_16211,MGG_16211T0,3258169,3259991,1822
MGG_00926,MGG_00926T0,1102256,1106209,3953
MGG_01331,MGG_01331T0,3129599,3132711,3112
MGG_09529,MGG_09529T0,3362073,3362898,825
MGG_16556,MGG_16556T0,7826644,7827429,785
MGG_13993,MGG_13993T0,613133,614583,1450
MGG_07498,MGG_07498T0,839017,840519,1502
MGG_06738,MGG_06738T0,2561414,2563217,1803
MGG_15396,MGG_15396T0,3375234,3376488,1254
MGG_04142,MGG_04142T0,1819625,1821359,1734
MGG_10327,MGG_10327T0,92646,95417,2771
MGG_04110,MGG_04110T0,1928879,1930200,1321
MGG_07868,MGG_07868T0,6105162,6107027,1865
MGG_04146,MGG_04146T0,1803082,1805591,2509
MGG_03872,MGG_03872T0,2754935,2757648,2713
MGG_08834,MGG_08834T0,1810847,1812199,1352
MGG_16653,MGG_16653T0,1002210,1003197,987
MGG_03436,MGG_03436T0,1872045,1873000,955
MGG_17941,MGG_17941T0,1152982,1153820,838
MGG_14938,MGG_14938T0,2743624,2744025,401
MGG_00824,MGG_00824T0,1490024,1492200,2176
MGG_07216,MGG_07216T0,6818619,6819756,1137
MGG_17312,MGG_17312T0,368930,369884,954
MGG_02798,MGG_02798T0,1467314,1468144,830
MGG_00149,MGG_00149T0,3946263,3949596,3333
MGG_00738,MGG_00738T0,1810327,1811775,1448
MGG_02885,MGG_02885T0,1145693,1146842,1149
MGG_08917,MGG_08917T0,2106118,2109095,2977
MGG_14699,MGG_14699T0,3216897,3220357,3460
MGG_11256,MGG_11256T0,2815133,2817406,2273
MGG_08190,MGG_08190T0,6008602,6010697,2095
MGG_07886,MGG_07886T0,6152602,6153106,504
MGG_10833,MGG_10833T0,519460,524204,4744
MGG_08609,MGG_08609T0,7566379,7566945,566
MGG_10368,MGG_10368T0,876524,877511,987
MGG_17445,MGG_17445T0,2676016,2676408,392
MGG_16730,MGG_16730T0,2170998,2171513,515
MGG_01841,MGG_01841T0,5061865,5063597,1732
MGG_08049,MGG_08049T0,5528805,5531365,2560
MGG_01205,MGG_01205T0,2647717,2650590,2873
MGG_16286,MGG_16286T0,4216525,4219552,3027
MGG_13834,MGG_13834T0,5635229,5636996,1767
MGG_15595,MGG_15595T0,1858653,1859258,605
MGG_11389,MGG_11389T0,877348,879407,2059
MGG_04180,MGG_04180T0,1688702,1690984,2282
MGG_17075,MGG_17075T0,1505923,1507365,1442
MGG_16801,MGG_16801T0,3533259,3535406,2147
MGG_14728,MGG_14728T0,466994,469720,2726
MGG_06277,MGG_06277T0,4318996,4322513,3517
MGG_02893,MGG_02893T0,1117669,1118133,464
MGG_16369,MGG_16369T0,5297490,5297952,462
MGG_09063,MGG_09063T0,2520583,2523687,3104
MGG_14684,MGG_14684T0,2915574,2915843,269
MGG_06891,MGG_06891T0,3136943,3138927,1984
MGG_03606,MGG_03606T0,1282575,1284852,2277
MGG_15674,MGG_15674T0,3192862,3193101,239
MGG_05831,MGG_05831T0,1636667,1637242,575
MGG_05198,MGG_05198T0,4925336,4928445,3109
MGG_07148,MGG_07148T0,6547190,6550210,3020
MGG_04012,MGG_04012T0,2235532,2237556,2024
MGG_08380,MGG_08380T0,7629292,7630440,1148
MGG_04779,MGG_04779T0,6727111,6728036,925
MGG_05949,MGG_05949T0,2082559,2084341,1782
MGG_07367,MGG_07367T0,7404322,7405682,1360
MGG_01620,MGG_01620T0,4221623,4224871,3248
MGG_01029,MGG_01029T0,744737,747427,2690
MGG_15779,MGG_15779T0,4973738,4975270,1532
MGG_08105,MGG_08105T0,5708422,5711862,3440
MGG_03638,MGG_03638T0,1169118,1171192,2074
MGG_16821,MGG_16821T0,3868305,3868933,628
MGG_02622,MGG_02622T0,2169378,2171550,2172
MGG_00865,MGG_00865T0,1331031,1338597,7566
MGG_06745,MGG_06745T0,2584734,2586306,1572
MGG_04455,MGG_04455T0,847482,849080,1598
MGG_13582,MGG_13582T0,4642041,4643659,1618
MGG_06465,MGG_06465T0,3632588,3637983,5395
MGG_17158,MGG_17158T0,3175267,3175719,452
MGG_07191,MGG_07191T0,6700516,6702213,1697
MGG_05792,MGG_05792T0,3103788,3104264,476
MGG_17610,MGG_17610T0,872948,873762,814
MGG_04708,MGG_04708T1,6921715,6926122,4407
MGG_04708,MGG_04708T0,6921715,6926122,4407
MGG_10130,MGG_10130T0,805419,805886,467
MGG_00271,MGG_00271T0,3458917,3460387,1470
MGG_00271,MGG_00271T1,3458917,3460387,1470
MGG_00267,MGG_00267T0,3467694,3468293,599
MGG_02418,MGG_02418T0,1772904,1776198,3294
MGG_15204,MGG_15204T0,690421,691443,1022
MGG_11185,MGG_11185T0,4030710,4033673,2963
MGG_10938,MGG_10938T0,6591432,6593368,1936
MGG_10062,MGG_10062T0,4765825,4767078,1253
MGG_00656,MGG_00656T0,2117321,2119870,2549
MGG_01405,MGG_01405T0,3415549,3418418,2869
MGG_10271,MGG_10271T0,224423,228487,4064
MGG_00908,MGG_00908T0,1174329,1176517,2188
MGG_03696,MGG_03696T0,993101,995803,2702
MGG_15533,MGG_15533T0,668478,668765,287
MGG_10073,MGG_10073T0,4726384,4726701,317
MGG_10912,MGG_10912T0,3658568,3666741,8173
MGG_01480,MGG_01480T0,3721809,3723095,1286
MGG_01211,MGG_01211T0,2678004,2679659,1655
MGG_02827,MGG_02827T0,1376309,1378091,1782
MGG_08307,MGG_08307T0,7925157,7927516,2359
MGG_07288,MGG_07288T0,7111685,7115484,3799
MGG_09253,MGG_09253T0,3934563,3935592,1029
MGG_05958,MGG_05958T0,2112910,2114398,1488
MGG_15966,MGG_15966T0,8151358,8151859,501
MGG_11047,MGG_11047T0,214955,219310,4355
MGG_04598,MGG_04598T0,7118020,7118403,383
MGG_01378,MGG_01378T0,3315057,3321487,6430
MGG_17450,MGG_17450T0,2812582,2815494,2912
MGG_04661,MGG_04661T0,1186709,1189359,2650
MGG_05247,MGG_05247T0,5141272,5146294,5022
MGG_02650,MGG_02650T0,2062044,2064302,2258
MGG_17957,MGG_17957T0,1435048,1435502,454
MGG_17743,MGG_17743T0,2873233,2874738,1505
MGG_17730,MGG_17730T0,2645617,2649876,4259
MGG_07116,MGG_07116T0,6408340,6417687,9347
MGG_17422,MGG_17422T0,2410907,2411279,372
MGG_15286,MGG_15286T0,1056730,1057610,880
MGG_06417,MGG_06417T0,3818123,3820193,2070
MGG_05367,MGG_05367T0,4970067,4972643,2576
MGG_04100,MGG_04100T0,1957547,1964440,6893
MGG_01123,MGG_01123T0,452800,456976,4176
MGG_15917,MGG_15917T0,7456427,7456886,459
MGG_10019,MGG_10019T0,4923264,4925350,2086
MGG_17918,MGG_17918T0,978341,978918,577
MGG_02060,MGG_02060T0,436989,438567,1578
MGG_08541,MGG_08541T0,577086,578950,1864
MGG_06976,MGG_06976T0,3441529,3442899,1370
MGG_03569,MGG_03569T0,1434138,1436816,2678
MGG_02256,MGG_02256T0,1165171,1166642,1471
MGG_14135,MGG_14135T0,178673,180166,1493
MGG_11730,MGG_11730T0,4173538,4174510,972
MGG_09305,MGG_09305T0,4161356,4163202,1846
MGG_16037,MGG_16037T0,670379,670855,476
MGG_08866,MGG_08866T0,1920784,1923496,2712
MGG_01983,MGG_01983T0,130448,132572,2124
MGG_07963,MGG_07963T0,6398692,6401563,2871
MGG_00580,MGG_00580T0,2426019,2427236,1217
MGG_07705,MGG_07705T0,5471840,5479965,8125
MGG_07470,MGG_07470T0,750725,753254,2529
MGG_07919,MGG_07919T0,6246557,6247374,817
MGG_17824,MGG_17824T0,3756683,3757878,1195
MGG_03932,MGG_03932T0,2524748,2526292,1544
MGG_07812,MGG_07812T0,5940455,5941611,1156
MGG_10361,MGG_10361T0,859161,859952,791
MGG_11098,MGG_11098T0,18986,20860,1874
MGG_04560,MGG_04560T0,7198048,7200528,2480
MGG_12523,MGG_12523T0,433613,437164,3551
MGG_08750,MGG_08750T0,262881,264267,1386
MGG_01350,MGG_01350T0,3209195,3212609,3414
MGG_09014,MGG_09014T0,2701918,2703706,1788
MGG_03698,MGG_03698T0,988083,990158,2075
MGG_16485,MGG_16485T0,6657310,6658129,819
MGG_06634,MGG_06634T0,3039901,3043157,3256
MGG_01588,MGG_01588T0,4105544,4107976,2432
MGG_03678,MGG_03678T0,1040736,1043590,2854
MGG_05972,MGG_05972T0,2157373,2158053,680
MGG_12158,MGG_12158T0,1835790,1840988,5198
MGG_09506,MGG_09506T0,3448275,3451473,3198
MGG_01485,MGG_01485T0,3743125,3747171,4046
MGG_11776,MGG_11776T0,3557611,3559351,1740
MGG_13994,MGG_13994T0,624925,628120,3195
MGG_02716,MGG_02716T0,1764163,1772858,8695
MGG_11907,MGG_11907T0,1857432,1860135,2703
MGG_04351,MGG_04351T0,597701,599271,1570
MGG_05314,MGG_05314T0,5371451,5373552,2101
MGG_10604,MGG_10604T0,6489366,6490142,776
MGG_05756,MGG_05756T0,6415361,6417995,2634
MGG_06154,MGG_06154T0,2757587,2759687,2100
MGG_08830,MGG_08830T0,1800090,1801598,1508
MGG_03636,MGG_03636T0,1177229,1178643,1414
MGG_04026,MGG_04026T0,2188728,2190102,1374
MGG_04837,MGG_04837T0,1535465,1537933,2468
MGG_17035,MGG_17035T3,588558,593523,4965
MGG_17035,MGG_17035T0,589241,593146,3905
MGG_17035,MGG_17035T2,589241,593146,3905
MGG_17035,MGG_17035T1,588558,593146,4588
MGG_06007,MGG_06007T0,2262057,2263952,1895
MGG_15146,MGG_15146T0,4733025,4734824,1799
MGG_06459,MGG_06459T0,3661437,3664995,3558
MGG_01364,MGG_01364T0,3263355,3266390,3035
MGG_04531,MGG_04531T0,938153,940434,2281
MGG_15235,MGG_15235T0,2033518,2034296,778
MGG_00139,MGG_00139T0,3984385,3987702,3317
MGG_16487,MGG_16487T0,6670816,6671359,543
MGG_10898,MGG_10898T0,7952975,7954291,1316
MGG_04928,MGG_04928T0,3981621,3982580,959
MGG_01428,MGG_01428T0,3494150,3496152,2002
MGG_15344,MGG_15344T0,95758,101034,5276
MGG_09373,MGG_09373T0,3502620,3505671,3051
