"","Gene","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","Transcript.stable.ID","Transcript.start..bp.","Transcript.end..bp.","length"
"2487","MGG_03181",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,3,1,1,"MGG_03181T0",2789243,2791652,2409
"2488","MGG_03182",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,3,5,4,3,5,0,"MGG_03182T0",2786742,2789076,2334
"2489","MGG_03183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"MGG_03183T0",2784599,2786769,2170
"2490","MGG_03184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,"MGG_03184T0",2782297,2784328,2031
"2491","MGG_03185",0,0,0,0,0,0,3,0,2,0,1,3,6,5,18,68,4,7,64,12,13,60,40,8,"MGG_03185T0",2779320,2782413,3093
"2492","MGG_03186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,44,11,2,29,31,3,"MGG_03186T0",2775851,2779282,3431
"2493","MGG_03187",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0,0,3,2,4,7,4,0,"MGG_03187T0",2773261,2775611,2350
"2494","MGG_03188",0,0,0,0,0,0,0,0,4,0,0,2,2,1,4,11,2,1,8,5,0,13,22,2,"MGG_03188T0",2771694,2773103,1409
"2495","MGG_03191",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,3,3,0,"MGG_03191T0",2759651,2763491,3840
"2496","MGG_03192",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,3,1,2,"MGG_03192T0",2756987,2759521,2534
"2497","MGG_03193",0,0,0,0,0,0,0,0,3,0,2,1,13,12,18,40,11,8,80,27,1,77,53,7,"MGG_03193T0",2754990,2756429,1439
"2498","MGG_03194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,18,6,1,13,3,2,"MGG_03194T0",2753346,2754653,1307
"2499","MGG_03195",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,6,14,9,4,7,7,1,"MGG_03195T0",2745597,2746948,1351
"2500","MGG_03196",0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,11,0,1,7,3,1,10,4,2,"MGG_03196T0",2741104,2745234,4130
"2501","MGG_03197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2,0,"MGG_03197T0",2731303,2733353,2050
"2502","MGG_03198",0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,4,2,0,7,6,0,2,6,1,"MGG_03198T0",2724860,2728421,3561
"2503","MGG_03199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"MGG_03199T0",2722275,2724179,1904
"2504","MGG_03200",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,5,6,12,6,17,23,0,"MGG_03200T0",2719006,2722573,3567
"2505","MGG_03201",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,4,0,"MGG_03201T0",2711885,2715489,3604
"2506","MGG_03202",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,"MGG_03202T0",2708359,2709549,1190
"2507","MGG_03203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,"MGG_03203T0",2706802,2707886,1084
"2508","MGG_03204",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,2,1,0,1,3,0,"MGG_03204T0",2702653,2707372,4719
"2509","MGG_03205",0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,3,0,8,4,0,5,5,0,"MGG_03205T0",2699771,2702594,2823
"2510","MGG_03207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,1,1,0,"MGG_03207T0",2690832,2692701,1869
"2511","MGG_03208",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03208T0",2686771,2689647,2876
"2512","MGG_03209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"MGG_03209T0",2682405,2684144,1739
"2513","MGG_03210",0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,3,3,0,6,2,1,"MGG_03210T0",2679870,2681855,1985
"2514","MGG_03211",0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,1,4,5,5,3,9,10,1,"MGG_03211T0",2677771,2679604,1833
"2515","MGG_03212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"MGG_03212T0",2670553,2671795,1242
"2516","MGG_03213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03213T0",2667538,2670128,2590
"2517","MGG_03214",0,0,0,0,0,0,2,2,0,0,0,0,2,2,3,4,0,2,3,1,2,4,8,0,"MGG_03214T0",2665968,2667584,1616
"2518","MGG_03215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,0,"MGG_03215T0",2663967,2665813,1846
"2519","MGG_03216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,2,0,3,2,0,"MGG_03216T0",2662487,2663825,1338
"2520","MGG_03217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,2,2,0,0,"MGG_03217T0",2659764,2662026,2262
"2521","MGG_03218",0,0,0,0,0,0,0,0,1,0,2,0,6,2,2,15,2,2,21,16,1,22,33,3,"MGG_03218T0",2655983,2657724,1741
"2522","MGG_03219",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,7,8,0,5,4,3,"MGG_03219T0",2653446,2655861,2415
"2523","MGG_03220",0,0,0,0,0,0,0,0,0,0,1,2,4,1,2,12,0,1,11,5,2,10,6,1,"MGG_03220T0",2649111,2653139,4028
"2524","MGG_03222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,"MGG_03222T0",2642507,2648505,5998
"2525","MGG_03223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,"MGG_03223T0",2635384,2642758,7374
"2526","MGG_03224",0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,4,0,0,5,1,0,8,2,0,"MGG_03224T0",2633234,2634817,1583
"2527","MGG_03225",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,7,5,1,8,5,0,"MGG_03225T0",2630055,2632807,2752
"2528","MGG_03226",0,0,0,0,0,1,0,1,0,0,0,0,10,2,2,27,1,5,28,6,5,25,18,2,"MGG_03226T0",2627603,2629835,2232
"2529","MGG_03227",0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,5,0,0,10,0,1,11,4,0,"MGG_03227T0",2626786,2627552,766
"2530","MGG_03228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,4,3,0,"MGG_03228T0",2622718,2626427,3709
"2531","MGG_03229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,1,2,"MGG_03229T0",2619733,2622838,3105
"2532","MGG_03230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,3,0,"MGG_03230T0",2617642,2619526,1884
"2533","MGG_03231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03231T0",2614944,2616865,1921
"2534","MGG_03232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,1,"MGG_03232T0",2610348,2614967,4619
"2535","MGG_03233",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"MGG_03233T0",2605913,2608242,2329
"2536","MGG_03234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,"MGG_03234T0",2604579,2606024,1445
"2537","MGG_03235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,4,0,0,"MGG_03235T0",2595171,2598360,3189
"2538","MGG_03236",0,0,0,0,1,0,0,0,0,0,0,0,5,3,6,28,5,4,37,11,2,25,27,2,"MGG_03236T0",2593573,2595420,1847
"2539","MGG_03237",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,3,4,1,0,"MGG_03237T0",2591308,2593387,2079
"2540","MGG_03238",0,0,0,0,0,0,2,0,0,0,0,0,2,3,3,4,3,0,9,2,0,7,9,4,"MGG_03238T0",2588595,2591049,2454
"2541","MGG_03239",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,1,0,1,3,2,1,"MGG_03239T0",2579034,2580601,1567
"2542","MGG_03241",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,1,0,8,1,2,"MGG_03241T0",2574281,2577357,3076
"2543","MGG_03242",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,15,1,4,4,7,0,"MGG_03242T0",2568180,2573293,5113
"2544","MGG_03243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,3,2,8,0,0,"MGG_03243T0",2565582,2567998,2416
"2545","MGG_03244",0,0,0,1,0,0,1,0,0,0,0,0,1,4,3,18,6,6,24,11,2,31,21,3,"MGG_03244T0",2563073,2565436,2363
"2546","MGG_03245",0,0,0,0,0,0,0,0,1,0,0,0,2,2,5,6,4,3,6,1,8,14,2,1,"MGG_03245T0",2560057,2561976,1919
"2547","MGG_03246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"MGG_03246T0",2558708,2559828,1120
"2548","MGG_03247",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,2,0,0,2,0,"MGG_03247T0",2557303,2558976,1673
"2549","MGG_03248",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,2,2,0,"MGG_03248T0",2552982,2556640,3658
"2550","MGG_03249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"MGG_03249T0",2550841,2552752,1911
"2551","MGG_03250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,4,0,"MGG_03250T0",2549614,2551168,1554
"2552","MGG_03251",0,0,0,0,0,0,0,3,2,0,0,2,7,12,13,43,7,4,46,17,8,32,33,1,"MGG_03251T0",2547753,2549050,1297
"2553","MGG_03252",0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,10,0,3,33,3,2,21,10,1,"MGG_03252T0",2532847,2546694,13847
"2554","MGG_03253",0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,7,1,1,9,6,0,16,4,2,"MGG_03253T0",2526964,2531958,4994
"2555","MGG_03254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,1,0,2,4,0,"MGG_03254T0",2522187,2526707,4520
"2556","MGG_03255",0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,12,0,1,15,4,1,17,9,3,"MGG_03255T0",2517508,2522173,4665
"2557","MGG_03256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,0,4,5,2,"MGG_03256T0",2514828,2517331,2503
"2558","MGG_03257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,3,4,10,7,6,"MGG_03257T0",2510524,2513470,2946
"2559","MGG_03258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_03258T0",2506208,2507492,1284
"2560","MGG_03259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03259T0",2503628,2503978,350
"2561","MGG_03262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_03262T0",2492247,2495660,3413
"2562","MGG_03263",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,2,1,3,0,0,2,"MGG_03263T0",2484388,2486793,2405
"2563","MGG_03264",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,4,0,1,1,0,0,"MGG_03264T0",2482249,2484514,2265
"2564","MGG_03265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,6,3,0,"MGG_03265T0",2476596,2480876,4280
"2565","MGG_03266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,"MGG_03266T0",2464827,2466379,1552
"2566","MGG_03267",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,"MGG_03267T0",2463520,2465459,1939
"2567","MGG_03268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03268T0",2460187,2461382,1195
"2568","MGG_03269",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,2,0,3,2,0,"MGG_03269T0",2455587,2460536,4949
"2569","MGG_03270",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,5,1,1,3,4,0,"MGG_03270T0",2451774,2455394,3620
"2570","MGG_03271",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,"MGG_03271T0",2449765,2451965,2200
"2571","MGG_03272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"MGG_03272T0",2448166,2449316,1150
"2572","MGG_03274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,4,0,1,"MGG_03274T0",2435973,2439318,3345
"2573","MGG_03275",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,"MGG_03275T0",2426072,2433838,7766
"2574","MGG_03279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"MGG_03279T0",2413292,2416452,3160
"2575","MGG_03280",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"MGG_03280T0",2410909,2413291,2382
"2576","MGG_03281",0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,4,1,0,2,3,0,0,0,0,"MGG_03281T0",2408655,2410414,1759
"2577","MGG_03281",0,0,1,0,1,0,0,0,0,0,0,1,0,2,1,4,1,0,2,3,0,0,0,0,"MGG_03281T1",2408709,2410151,1442
"2578","MGG_03282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,"MGG_03282T0",2406572,2408505,1933
"2579","MGG_03283",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,11,1,0,9,7,0,"MGG_03283T0",2403060,2406798,3738
"2580","MGG_03284",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,3,3,0,"MGG_03284T0",2399219,2403026,3807
"2581","MGG_03285",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,2,3,2,9,8,3,"MGG_03285T0",2396247,2399075,2828
"2582","MGG_03286",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,5,1,1,4,0,0,"MGG_03286T0",2392281,2396575,4294
"2583","MGG_03287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"MGG_03287T0",2388583,2391007,2424
"2584","MGG_03288",0,0,0,0,1,0,0,0,1,0,0,1,5,4,5,37,4,10,62,19,16,73,80,19,"MGG_03288T0",2384509,2386990,2481
"2585","MGG_03290",0,1,0,0,0,0,2,0,0,0,0,0,2,0,3,2,0,0,10,6,0,12,13,1,"MGG_03290T0",2375413,2380217,4804
"2586","MGG_03291",0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,2,5,4,1,7,1,0,"MGG_03291T0",2370875,2373774,2899
"2587","MGG_03292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0,7,8,0,"MGG_03292T0",2366612,2369574,2962
"2588","MGG_03293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,"MGG_03293T0",2365066,2366439,1373
"2589","MGG_03294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03294T0",2362171,2364688,2517
"2590","MGG_03295",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,4,2,2,0,0,0,"MGG_03295T0",2358637,2362008,3371
"2591","MGG_03298",0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,8,0,3,5,8,5,18,21,2,"MGG_03298T0",2349451,2351592,2141
"2592","MGG_03299",0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,4,2,0,1,0,0,1,0,1,"MGG_03299T0",2346420,2348778,2358
"2593","MGG_03301",0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,18,1,1,10,1,2,7,6,1,"MGG_03301T0",2342015,2343226,1211
"2594","MGG_03302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,1,1,2,1,"MGG_03302T0",2338660,2341743,3083
"2595","MGG_03303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,"MGG_03303T0",2335692,2338496,2804
"2596","MGG_03304",0,1,2,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,"MGG_03304T0",2333990,2335968,1978
"2597","MGG_03306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03306T0",2326394,2327176,782
"2598","MGG_03307",0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,9,1,4,22,7,1,87,34,9,"MGG_03307T0",2322795,2324121,1326
"2599","MGG_03308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03308T0",2320296,2321205,909
"2600","MGG_03309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03309T0",2316056,2317168,1112
"2601","MGG_03310",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,2,0,5,4,1,8,5,2,"MGG_03310T0",2311702,2313995,2293
"2602","MGG_03311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"MGG_03311T0",2309446,2311593,2147
"2603","MGG_03312",0,3,6,4,8,6,0,2,2,0,1,1,1,3,4,4,1,1,5,0,0,0,3,0,"MGG_03312T0",2307729,2308554,825
"2604","MGG_03313",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,6,4,0,1,0,1,"MGG_03313T0",2302905,2307462,4557
"2605","MGG_03314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"MGG_03314T0",2295056,2302719,7663
"2606","MGG_03315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"MGG_03315T0",2293647,2295049,1402
"2607","MGG_03316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"MGG_03316T1",2289740,2293218,3478
"2608","MGG_03316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"MGG_03316T0",2289740,2292995,3255
"2609","MGG_03317",0,0,0,0,0,0,1,3,1,0,1,0,1,1,6,9,0,3,14,9,7,10,7,4,"MGG_03317T0",2287530,2289812,2282
"2610","MGG_03318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,3,4,0,"MGG_03318T0",2286102,2287358,1256
"2611","MGG_03319",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,5,3,5,4,4,5,"MGG_03319T0",2279970,2286302,6332
"2612","MGG_03320",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,2,3,2,2,6,1,"MGG_03320T0",2269819,2272869,3050
"2613","MGG_03321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,5,0,0,"MGG_03321T0",2268193,2269731,1538
"2614","MGG_03322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"MGG_03322T0",2264746,2268023,3277
"2615","MGG_03323",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,11,1,0,4,8,2,"MGG_03323T0",2259019,2264170,5151
"2616","MGG_03324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,1,0,"MGG_03324T0",2256849,2258297,1448
"2617","MGG_03325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03325T0",2251252,2252710,1458
"2618","MGG_03326",0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,16,5,13,17,7,4,5,4,0,"MGG_03326T0",2248166,2248654,488
"2619","MGG_03327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03327T0",2244869,2246989,2120
"2620","MGG_03328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,1,1,"MGG_03328T0",2240686,2242358,1672
"2621","MGG_03329",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,3,5,1,1,0,1,0,"MGG_03329T0",2239264,2240444,1180
"2622","MGG_03330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"MGG_03330T0",2237117,2239027,1910
"2623","MGG_03331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,1,0,"MGG_03331T0",2235105,2236534,1429
"2624","MGG_03332",1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,3,2,1,"MGG_03332T0",2232204,2235043,2839
"2625","MGG_03333",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,1,0,3,5,0,"MGG_03333T0",2227968,2230605,2637
"2626","MGG_03335",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,1,0,0,1,0,"MGG_03335T0",2218713,2219999,1286
"2627","MGG_03336",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,0,0,9,3,0,6,3,0,"MGG_03336T0",2217426,2218353,927
"2628","MGG_03337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03337T0",2213879,2216775,2896
"2629","MGG_03338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03338T0",2212381,2213432,1051
"2630","MGG_03339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_03339T0",2210403,2211259,856
"2631","MGG_03340",0,0,0,0,2,0,2,7,1,0,2,1,0,2,1,15,4,6,36,19,12,43,23,8,"MGG_03340T0",2206465,2208234,1769
"2632","MGG_03341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,5,3,12,11,5,"MGG_03341T0",2201247,2204788,3541
"2633","MGG_03343",0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4,0,0,8,5,1,"MGG_03343T0",2196967,2199965,2998
"2634","MGG_03346",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,"MGG_03346T0",2192761,2194474,1713
"2635","MGG_03347",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,2,1,1,"MGG_03347T0",2191141,2192677,1536
"2636","MGG_03348",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"MGG_03348T0",2186071,2189369,3298
"2637","MGG_03349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"MGG_03349T0",2181439,2183287,1848
"2638","MGG_03350",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03350T0",2180376,2181319,943
"2639","MGG_03351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"MGG_03351T0",2172877,2176301,3424
"2640","MGG_03352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"MGG_03352T0",2170393,2172136,1743
"2641","MGG_03353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,2,1,0,"MGG_03353T0",2167749,2169006,1257
"2642","MGG_03354",0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,6,1,1,6,3,2,4,5,3,"MGG_03354T0",2164545,2165174,629
"2643","MGG_03355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03355T0",2163674,2164323,649
"2644","MGG_03356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_03356T0",2160978,2162045,1067
"2645","MGG_03358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03358T0",2151995,2154876,2881
"2646","MGG_03360",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,14,2,3,6,2,2,5,1,0,"MGG_03360T0",2140567,2143545,2978
"2647","MGG_03361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"MGG_03361T0",2138713,2140020,1307
"2648","MGG_03362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"MGG_03362T0",2133414,2134961,1547
"2649","MGG_03363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"MGG_03363T0",2130119,2131926,1807
"2650","MGG_03364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"MGG_03364T0",2129217,2130057,840
"2651","MGG_03365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03365T0",2126758,2127261,503
"2652","MGG_03367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,2,1,1,0,"MGG_03367T0",2116782,2121190,4408
"2653","MGG_03368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_03368T0",2117214,2118357,1143
"2654","MGG_03369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,2,0,5,2,0,"MGG_03369T0",2115125,2116485,1360
"2655","MGG_03372",0,0,0,0,0,0,1,0,1,0,0,0,11,10,16,32,1,4,35,9,4,16,19,1,"MGG_03372T0",2110236,2110670,434
"2656","MGG_03373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,7,1,1,"MGG_03373T0",2107394,2109984,2590
"2657","MGG_03374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,12,0,3,10,2,3,"MGG_03374T0",2104122,2105708,1586
"2658","MGG_03375",0,0,0,3,0,0,1,0,2,0,0,0,0,1,0,8,1,0,2,0,1,7,3,2,"MGG_03375T0",2100076,2102662,2586
"2659","MGG_03376",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,0,8,5,2,7,6,0,"MGG_03376T0",2095415,2099540,4125
